Federal_Provider_Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Description,Deficiency Tag Number,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Location,Processing Date,,
465129,PARKWAY HEALTH CENTER,55 SOUTH PROFESSIONAL WAY,PAYSON,UT,84651,02/27/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,760,D,"Deficient, Provider has date of correction",04/03/2018 12:00:00 AM,2,true,false,"55 SOUTH PROFESSIONAL WAY PAYSON, UT 84651 (40.043426, -111.712251)",04/01/2020 12:00:00 AM,,
465184,CASCADES AT RIVERWALK,1012 WEST JORDAN RIVER BOULEVARD,MIDVALE,UT,84047,08/17/2017 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",279,D,"Deficient, Provider has date of correction",10/31/2017 12:00:00 AM,3,true,true,"1012 WEST JORDAN RIVER BOULEVARD MIDVALE, UT 84047 (40.623815, -111.920813)",04/01/2020 12:00:00 AM,,
465168,ROCKY MOUNTAIN CARE - RIVERTON,3419 WEST 12600 SOUTH,RIVERTON,UT,84065,05/09/2019 12:00:00 AM,Health,false,Administration Deficiencies,Provide or obtain laboratory tests/services when ordered and promptly tell the ordering practitioner of the results.,773,D,"Deficient, Provider has date of correction",06/01/2019 12:00:00 AM,1,true,false,"3419 WEST 12600 SOUTH RIVERTON, UT 84065 (40.522216, -111.972362)",04/01/2020 12:00:00 AM,,
465173,STONEHENGE OF RICHFIELD,125 EAST 600 NORTH,RICHFIELD,UT,84701,03/22/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,760,D,"Deficient, Provider has date of correction",06/01/2018 12:00:00 AM,2,true,false,"125 EAST 600 NORTH RICHFIELD, UT 84701 (38.776536, -112.083405)",04/01/2020 12:00:00 AM,,
465180,SOUTHERN UTAH VETERANS HOME - IVINS,160 NORTH 200 EAST,IVINS,UT,84738,07/17/2019 12:00:00 AM,Health,false,Environmental Deficiencies,Provide and implement an infection prevention and control program.,880,D,"Deficient, Provider has date of correction",08/13/2019 12:00:00 AM,1,true,false,"160 NORTH 200 EAST IVINS, UT 84738 (37.171082, -113.675054)",04/01/2020 12:00:00 AM,,
465168,ROCKY MOUNTAIN CARE - RIVERTON,3419 WEST 12600 SOUTH,RIVERTON,UT,84065,02/12/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure each resident�s drug regimen must be free from unnecessary drugs.,757,D,"Deficient, Provider has date of correction",03/09/2018 12:00:00 AM,2,true,false,"3419 WEST 12600 SOUTH RIVERTON, UT 84065 (40.522216, -111.972362)",04/01/2020 12:00:00 AM,,
465117,SOUTH OGDEN POST- ACUTE,5540 SOUTH 1050 EAST,OGDEN,UT,84405,02/21/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",756,D,"Deficient, Provider has date of correction",04/30/2019 12:00:00 AM,1,true,false,"5540 SOUTH 1050 EAST OGDEN, UT 84405 (41.162569, -111.952649)",04/01/2020 12:00:00 AM,,
465137,RED CLIFFS HEALTH AND REHAB,1745 EAST 280 NORTH,ST GEORGE,UT,84790,01/09/2020 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,760,G,"Deficient, Provider has date of correction",02/20/2020 12:00:00 AM,1,true,false,"1745 EAST 280 NORTH ST GEORGE, UT 84790 (37.113132, -113.546401)",04/01/2020 12:00:00 AM,,
465168,ROCKY MOUNTAIN CARE - RIVERTON,3419 WEST 12600 SOUTH,RIVERTON,UT,84065,10/19/2016 12:00:00 AM,Health,false,Resident Rights Deficiencies,Let residents talk to and get information from agencies acting on their behalf.,168,C,"Deficient, Provider has date of correction",10/20/2016 12:00:00 AM,3,true,false,"3419 WEST 12600 SOUTH RIVERTON, UT 84065 (40.522216, -111.972362)",04/01/2020 12:00:00 AM,,
46A064,PINE CREEK REHABILITATION AND NURSING,876 WEST 700 SOUTH,SALT LAKE CITY,UT,84104,06/12/2018 12:00:00 AM,Health,false,Nursing and Physician Services Deficiencies,Provide enough nursing staff every day to meet the needs of every resident, and have a licensed nurse in charge on each shift.,725,E,"Deficient, Provider has date of correction",08/10/2018 12:00:00 AM,2,true,true,"876 WEST 700 SOUTH SALT LAKE CITY, UT 84104 (40.754109, -111.916306)",04/01/2020 12:00:00 AM,
465144,SEASONS HEALTHCARE AND REHABILITATION,242 NORTH 200 WEST,ST GEORGE,UT,84770,03/08/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,F,"Deficient, Provider has date of correction",05/01/2018 12:00:00 AM,2,true,false,"242 NORTH 200 WEST ST GEORGE, UT 84770 (37.112209, -113.587509)",04/01/2020 12:00:00 AM,,
465119,PROVO REHABILITATION AND NURSING,1001 NORTH 500 WEST,PROVO,UT,84604,06/20/2019 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",550,D,"Deficient, Provider has date of correction",08/16/2019 12:00:00 AM,1,true,true,"1001 NORTH 500 WEST PROVO, UT 84604 (40.24745, -111.667422)",04/01/2020 12:00:00 AM,,
465157,MILLARD COUNTY CARE AND REHABILITATION,150 SOUTH WHITE SAGE AVENUE,DELTA,UT,84624,08/31/2017 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",279,D,"Deficient, Provider has date of correction",11/13/2017 12:00:00 AM,3,true,false,"150 SOUTH WHITE SAGE AVENUE DELTA, UT 84624 (39.349923, -112.560183)",04/01/2020 12:00:00 AM,,
465157,MILLARD COUNTY CARE AND REHABILITATION,150 SOUTH WHITE SAGE AVENUE,DELTA,UT,84624,12/05/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",761,E,"Deficient, Provider has date of correction",01/31/2020 12:00:00 AM,1,true,false,"150 SOUTH WHITE SAGE AVENUE DELTA, UT 84624 (39.349923, -112.560183)",04/01/2020 12:00:00 AM,,
465163,NORTH CANYON CARE CENTER,350 SOUTH 400 EAST,BOUNTIFUL,UT,84010,08/30/2018 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",580,D,"Deficient, Provider has date of correction",10/15/2018 12:00:00 AM,2,true,false,"350 SOUTH 400 EAST BOUNTIFUL, UT 84010 (40.885771, -111.87236)",04/01/2020 12:00:00 AM,,
465150,WILLIAM E CHRISTOFFERSEN SALT LAKE VETERANS HOME,700 SOUTH FOOTHILL DRIVE,SALT LAKE CITY,UT,84113,12/12/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,F,"Deficient, Provider has date of correction",02/06/2019 12:00:00 AM,2,true,false,"700 SOUTH FOOTHILL DRIVE SALT LAKE CITY, UT 84113 (40.752615, -111.831915)",04/01/2020 12:00:00 AM,,
465139,LIFE CARE CENTER OF SALT LAKE CITY,1201 EAST 4500 SOUTH,SALT LAKE CITY,UT,84117,07/13/2017 12:00:00 AM,Health,false,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,246,D,"Deficient, Provider has date of correction",08/24/2017 12:00:00 AM,3,true,false,"1201 EAST 4500 SOUTH SALT LAKE CITY, UT 84117 (40.674302, -111.857018)",04/01/2020 12:00:00 AM,,
465179,COUNTRY LIFE CARE CENTER,13747 SOUTH REDWOOD ROAD,RIVERTON,UT,84065,07/05/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,D,"Deficient, Provider has date of correction",09/13/2018 12:00:00 AM,2,true,false,"13747 SOUTH REDWOOD ROAD RIVERTON, UT 84065 (40.501469, -111.938641)",04/01/2020 12:00:00 AM,,
465143,CEDAR HEALTH AND REHABILITATION,411 WEST 1325 NORTH,CEDAR CITY,UT,84721,03/08/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",656,D,"Deficient, Provider has date of correction",04/06/2018 12:00:00 AM,2,true,false,"411 WEST 1325 NORTH CEDAR CITY, UT 84721 (37.701055, -113.068729)",04/01/2020 12:00:00 AM,,
465168,ROCKY MOUNTAIN CARE - RIVERTON,3419 WEST 12600 SOUTH,RIVERTON,UT,84065,02/12/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted,655,D,"Deficient, Provider has date of correction",03/09/2018 12:00:00 AM,2,true,false,"3419 WEST 12600 SOUTH RIVERTON, UT 84065 (40.522216, -111.972362)",04/01/2020 12:00:00 AM,,
465165,MISSION AT MAPLE SPRINGS,1010 SOUTH MEDICAL DRIVE,BRIGHAM,UT,84302,10/26/2017 12:00:00 AM,Health,false,Administration Deficiencies,"Keep accurate, complete and organized clinical records on each resident that meet professional standards.",514,E,"Deficient, Provider has date of correction",12/08/2017 12:00:00 AM,3,true,false,"1010 SOUTH MEDICAL DRIVE BRIGHAM, UT 84302 (41.489426, -112.025927)",04/01/2020 12:00:00 AM,,
465129,PARKWAY HEALTH CENTER,55 SOUTH PROFESSIONAL WAY,PAYSON,UT,84651,04/04/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.,755,E,"Deficient, Provider has date of correction",05/09/2019 12:00:00 AM,1,true,true,"55 SOUTH PROFESSIONAL WAY PAYSON, UT 84651 (40.043426, -111.712251)",04/01/2020 12:00:00 AM,,
465159,ASPEN RIDGE TRANSITIONAL REHAB,963 EAST 6600 SOUTH,MURRAY,UT,84121,09/27/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",761,E,"Deficient, Provider has date of correction",10/27/2018 12:00:00 AM,2,true,false,"963 EAST 6600 SOUTH MURRAY, UT 84121 (40.631566, -111.864023)",04/01/2020 12:00:00 AM,,
465117,SOUTH OGDEN POST- ACUTE,5540 SOUTH 1050 EAST,OGDEN,UT,84405,02/21/2019 12:00:00 AM,Health,false,Environmental Deficiencies,Develop and implement policies and procedures for flu and pneumonia vaccinations.,883,D,"Deficient, Provider has date of correction",04/30/2019 12:00:00 AM,1,true,false,"5540 SOUTH 1050 EAST OGDEN, UT 84405 (41.162569, -111.952649)",04/01/2020 12:00:00 AM,,
46A064,PINE CREEK REHABILITATION AND NURSING,876 WEST 700 SOUTH,SALT LAKE CITY,UT,84104,07/02/2019 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",580,D,"Deficient, Provider has date of correction",08/16/2019 12:00:00 AM,1,true,false,"876 WEST 700 SOUTH SALT LAKE CITY, UT 84104 (40.754109, -111.916306)",04/01/2020 12:00:00 AM,,
465169,THATCHER BROOK REHABILITATION & CARE CENTER,1795 SOUTH CHELEMES WAY,CLEARFIELD,UT,84015,12/19/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Provide appropriate treatment and care according to orders, resident�s preferences and goals.",684,D,"Deficient, Provider has date of correction",01/31/2020 12:00:00 AM,1,true,false,"1795 SOUTH CHELEMES WAY CLEARFIELD, UT 84015 (41.087565, -112.017754)",04/01/2020 12:00:00 AM,,
465184,CASCADES AT RIVERWALK,1012 WEST JORDAN RIVER BOULEVARD,MIDVALE,UT,84047,10/10/2019 12:00:00 AM,Health,false,Administration Deficiencies,Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.,849,D,"Deficient, Provider has date of correction",12/06/2019 12:00:00 AM,1,true,false,"1012 WEST JORDAN RIVER BOULEVARD MIDVALE, UT 84047 (40.623815, -111.920813)",04/01/2020 12:00:00 AM,,
465156,AVALON CARE CENTER-BOUNTIFUL,523 NORTH MAIN STREET,BOUNTIFUL,UT,84010,05/17/2017 12:00:00 AM,Health,false,Nursing and Physician Services Deficiencies,Have enough nurses to care for every resident in a way that maximizes the resident's well being.,353,E,"Deficient, Provider has date of correction",06/09/2017 12:00:00 AM,3,false,true,"523 NORTH MAIN STREET BOUNTIFUL, UT 84010 (40.894753, -111.879013)",04/01/2020 12:00:00 AM,,
465153,STONEHENGE OF CEDAR CITY,333 WEST 1425 NORTH,CEDAR CITY,UT,84721,04/25/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Maintain drug records and properly mark/label drugs and other similar products according to accepted professional standards.,431,E,"Deficient, Provider has date of correction",06/20/2017 12:00:00 AM,3,true,false,"333 WEST 1425 NORTH CEDAR CITY, UT 84721 (37.703008, -113.067892)",04/01/2020 12:00:00 AM,,
